TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Log Second follow up call,3,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Wrap up Call,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Log Wrap up Call,3,4,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,POC License Expiry,3,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Close Evaluation,3,2,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Confirm that no tamper protection is on,2,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,"Close instance, update evaluation stage and technical win",3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
task,Speak to Aleks or Rob to deprovision the instance,3,3,Llewellyn (14355728),,,en,Europe/London
,,,,,,,,
